epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4679,2.98123,4.48779,2.35837,0.00019,0.0098,0.00011,2e-05,2.41358,4.2047,1.81459,2e-05,2e-05,2e-05
2,28.3651,3.09098,4.4664,2.273,0.00019,0.0098,0.00012,4e-05,2.46005,4.22033,1.87111,4.901e-05,4.901e-05,4.901e-05
3,33.2733,2.43855,4.30121,1.945,0.00082,0.04412,0.00247,0.00046,2.51415,4.21744,1.86932,7.6832e-05,7.6832e-05,7.6832e-05
4,37.9061,2.08249,4.0488,1.63867,0.00333,0.17647,0.06743,0.02993,2.58645,4.19619,1.88896,0.000103466,0.000103466,0.000103466
5,42.8439,2.06405,4.05361,1.56915,0.00659,0.37745,0.18037,0.10512,2.53462,4.098,2.05323,0.000128912,0.000128912,0.000128912
6,47.8155,1.81066,3.60592,1.44636,0.00952,0.52451,0.19724,0.12148,2.3146,3.95506,1.90191,0.00015317,0.00015317,0.00015317
7,53.5762,1.71317,3.44705,1.3897,0.01225,0.62255,0.26741,0.16984,1.86234,3.77477,1.55816,0.00017624,0.00017624,0.00017624
8,59.2435,1.64946,3.27818,1.3473,0.93597,0.16667,0.29236,0.15875,1.74591,3.69726,1.45663,0.000198122,0.000198122,0.000198122
9,65.4729,1.59507,2.98248,1.31911,0.99889,0.16667,0.34193,0.16272,1.57266,3.53794,1.37115,0.000218816,0.000218816,0.000218816
10,70.7343,1.61059,2.81509,1.30022,0.99812,0.16667,0.40613,0.20893,1.49891,3.4276,1.3186,0.000238322,0.000238322,0.000238322
11,76.1303,1.58768,2.72832,1.2494,0.99138,0.16176,0.46338,0.22508,1.55744,3.32289,1.25916,0.00025664,0.00025664,0.00025664
12,80.9224,1.48273,2.43243,1.21653,0.82575,0.18689,0.51254,0.26429,1.48899,3.23633,1.23692,0.00027377,0.00027377,0.00027377
13,86.076,1.52287,2.32762,1.25232,0.96247,0.27362,0.6098,0.38289,1.3879,2.96055,1.21164,0.000289712,0.000289712,0.000289712
14,90.5149,1.50157,2.13122,1.20945,0.93054,0.33968,0.62941,0.40068,1.34944,2.83667,1.19049,0.000304466,0.000304466,0.000304466
15,95.2895,1.42905,1.7957,1.16956,0.9415,0.54087,0.7404,0.43509,1.43083,2.66289,1.21222,0.000318032,0.000318032,0.000318032
16,100.524,1.48576,1.73705,1.16333,0.9614,0.54733,0.75774,0.44489,1.45959,2.60147,1.2431,0.00033041,0.00033041,0.00033041
17,106.177,1.42533,1.69621,1.17965,0.96548,0.4902,0.88533,0.51598,1.40876,2.61093,1.20431,0.0003416,0.0003416,0.0003416
18,110.923,1.39631,1.55172,1.20563,0.98123,0.54,0.92602,0.51903,1.41204,2.55193,1.24385,0.000351602,0.000351602,0.000351602
19,115.788,1.34957,1.34989,1.16743,0.99476,0.5689,0.95965,0.54439,1.4016,2.48953,1.24417,0.000360416,0.000360416,0.000360416
20,120.63,1.33247,1.38442,1.14257,0.98772,0.5578,0.96676,0.59049,1.32971,2.46471,1.23947,0.000368042,0.000368042,0.000368042
21,125.429,1.28408,1.37582,1.11668,0.99206,0.51801,0.97844,0.60802,1.34121,2.40722,1.23414,0.00037448,0.00037448,0.00037448
22,130.918,1.3176,1.26657,1.09662,0.97056,0.51328,0.96461,0.58565,1.38995,2.39156,1.24371,0.00037973,0.00037973,0.00037973
23,135.931,1.22637,1.25418,1.06363,0.95313,0.347,0.9244,0.564,1.41866,2.46096,1.2492,0.000383792,0.000383792,0.000383792
24,141.47,1.21405,1.17272,1.06887,0.9353,0.34057,0.89508,0.55626,1.40048,2.45,1.24403,0.000386666,0.000386666,0.000386666
25,144.903,1.23184,1.14959,1.09982,0.9575,0.42832,0.91649,0.55802,1.40467,2.3618,1.22251,0.000388352,0.000388352,0.000388352
26,148.259,1.22135,1.1312,1.06881,0.94145,0.51766,0.94364,0.58472,1.41594,2.23631,1.16857,0.00038885,0.00038885,0.00038885
27,151.45,1.2249,1.11104,1.09231,0.96471,0.66817,0.96968,0.60692,1.3176,2.03881,1.12334,0.00038816,0.00038816,0.00038816
28,154.479,1.21017,1.09958,1.07378,0.97421,0.80786,0.98242,0.62926,1.19154,1.86552,1.08608,0.000386282,0.000386282,0.000386282
29,157.545,1.23989,1.08772,1.02856,0.97421,0.80786,0.98242,0.62926,1.19154,1.86552,1.08608,0.000383216,0.000383216,0.000383216
30,160.541,1.1305,1.03321,1.04668,0.97236,0.8884,0.98452,0.65124,1.10858,1.73044,1.06896,0.000378962,0.000378962,0.000378962
31,163.556,1.17532,0.9953,1.06252,0.96857,0.87847,0.98937,0.65039,1.08922,1.68686,1.06561,0.00037352,0.00037352,0.00037352
32,167.51,1.24565,0.99928,1.07358,0.9592,0.89918,0.98964,0.66595,1.0701,1.63812,1.0601,0.00036689,0.00036689,0.00036689
33,170.584,1.17705,1.03532,1.02105,0.9592,0.89918,0.98964,0.66595,1.0701,1.63812,1.0601,0.000359072,0.000359072,0.000359072
34,173.45,1.12785,1.00203,1.04487,0.94786,0.91621,0.98979,0.68134,1.03731,1.5254,1.04123,0.0003466,0.0003466,0.0003466
35,176.69,1.14425,1.03649,1.06075,0.95277,0.96103,0.98984,0.67598,1.0301,1.34687,1.0323,0.0003268,0.0003268,0.0003268
36,179.815,1.09378,0.93544,1.01422,0.95304,0.98904,0.99061,0.66327,1.08907,1.21389,1.04582,0.000307,0.000307,0.000307
37,182.891,1.159,1.05077,1.02682,0.95304,0.98904,0.99061,0.66327,1.08907,1.21389,1.04582,0.0002872,0.0002872,0.0002872
38,185.802,1.08394,0.93209,1.0201,0.95474,0.98759,0.99113,0.67518,1.06924,1.10976,1.04318,0.0002674,0.0002674,0.0002674
39,188.86,1.19117,1.00343,1.04827,0.9804,0.98804,0.99149,0.68801,1.02554,1.02419,1.03072,0.0002476,0.0002476,0.0002476
40,192.136,1.11058,0.94206,1.04196,0.98143,0.9925,0.99182,0.69426,0.99734,0.97593,1.02355,0.0002278,0.0002278,0.0002278
41,214.539,1.07063,1.3147,1.04308,0.98143,0.9925,0.99182,0.69426,0.99734,0.97593,1.02355,0.000208,0.000208,0.000208
42,217.559,1.04243,1.2152,1.04154,0.98299,0.99425,0.99196,0.70329,0.99445,0.96372,1.01698,0.0001882,0.0001882,0.0001882
43,220.438,1.07661,1.2377,1.03734,0.9797,0.99524,0.9918,0.7067,0.9976,1.0072,1.01545,0.0001684,0.0001684,0.0001684
44,223.424,1.1284,1.07185,1.03712,0.97839,0.99413,0.99182,0.70166,1.00842,1.08389,1.00921,0.0001486,0.0001486,0.0001486
45,226.261,1.28886,1.23615,1.09949,0.97839,0.99413,0.99182,0.70166,1.00842,1.08389,1.00921,0.0001288,0.0001288,0.0001288
